Date,Item_Name,Brand_Name,Size,Order_Quantity,Category,New_Color
,,,,,,
1/4/2021,Panel EQ19 RUN #55178,Adidas,8-8.5,6,Others,
1/18/2021,Food bed Climacool Vento #54551,Adidas,8-8.5,10,OS,
1/18/2021,Food bed Climacool Vento #54551,Adidas,5-5.5,10,OS,
1/25/2021,Heel Counter TS030,Puma,No.4(7.5-8.5),40,HC,
1/25/2021,Heel Counter TS030,Puma,No.3(6-7),40,HC,
1/25/2021,Heel counter TS033,Puma,No.4(7.5-8.5),630,HC,
1/25/2021,Heel counter TS042,Puma,No.4(7.5-8.5),160,HC,
2/2/2021,Outsole Puma #FB1103,,7.5,5,OS,
2/2/2021,Outsole Puma #FB1103,,7.5,5,OS,
2/17/2021,Outsole Furon 6 FG #PFG002,NB,9.5-10,5,OS,
2/17/2021,Outsole Furon 6 FG #PFG002,NB,9.5-10,5,OS,
2/17/2021,Outsole Future MxSG #FB1089,Puma,9,6,OS,
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,8,5,OS,
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,8,5,OS,
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,9,6,OS,
2/22/2021,Panel EQ19 RUN #55178,Adidas,5-5.5,20,Others,
3/3/2021,Food bed Climacool Vento #54551,Adidas,8-8.5,10,OS,
3/8/2021,Outsole Game Changer Pro #FB1043,Puma,9.5,10,OS,
3/9/2021,Outsole #FB1079,Puma,8.5,10,OS,
3/9/2021,Outsole Supernatural Inline #AD36895,Adidas,4,16,OS,
3/15/2021,Outsole Kipsta FG SR#DFM-1602,Kipstar,43,4,OS,
3/17/2021,Midsole Workout,Adidas,8-9,5,Others,
3/17/2021,Midsole Workout,Adidas,8-9,5,Others,
3/18/2021,Outsole Future MG #FB1095,Puma,10-10.5,2,OS,
3/19/2021,Midsole Climawarm Ground Control #57531,Adidas,8.5,5,Others,
3/26/2021,Insole board Apos4,Apos,8,5,IB,
3/26/2021,Insole board Apos4,Apos,5,5,IB,
3/26/2021,Insole board Apos4,Apos,11.5,5,IB,
3/26/2021,Insole board Apos4,Apos,3.5,5,IB,
3/26/2021,Insole board Apos4,Apos,4.5,5,IB,
3/26/2021,Insole board Apos4,Apos,9,5,IB,
3/26/2021,Insole board Apos4,Apos,7.5,5,IB,
3/26/2021,Insole board Apos4,Apos,6,5,IB,
3/26/2021,Insole board Apos4,Apos,10.5,5,IB,
3/26/2021,Insole board Apos4,Apos,13.5,5,IB,
3/26/2021,Insole board Apos4,Apos,6.5,5,IB,
3/26/2021,Insole board Apos4,Apos,13,5,IB,
3/26/2021,Insole board Apos4,Apos,2.5,5,IB,
3/26/2021,Insole board Apos4,Apos,12,5,IB,
4/1/2021,Heelcap Response Super X #52910HT,Adidas,5-6,55,Others,NO
4/5/2021,Outsole Puma PACE #FB1065,Puma,10,10,OS,
4/13/2021,Outsole Furon 6 FG #PFG002,NB,7.5-8,7,OS,
