Import_Date,Item_Name,Brand_Name,Size,Order_Quantity
,,,,
1/4/2021,Panel EQ19 RUN #55178,Adidas,Q,25000
1/18/2021,Food bed Climacool Vento #54551,Adidas,Q,25000
1/18/2021,Food bed Climacool Vento #54551,Adidas,N,25000
1/25/2021,Heel Counter TS030,Puma,A,25000
1/25/2021,Heel Counter TS030,Puma,A,50000
1/25/2021,Heel counter TS033,Puma,A,5000
1/25/2021,Heel counter TS042,Puma,A,5000
2/2/2021,Outsole Puma #FB1103,Other,P,5000
2/2/2021,Outsole Puma #FB1103,Other,P,7000
2/17/2021,Outsole Furon 6 FG #PFG002,NB,R,1000
2/17/2021,Outsole Furon 6 FG #PFG002,NB,R,1000
2/17/2021,Outsole Future MxSG #FB1089,Puma,R,1000
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,3000
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,10000
2/17/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,R,30000
2/22/2021,Panel EQ19 RUN #55178,Adidas,N,2000
3/3/2021,Food bed Climacool Vento #54551,Adidas,Q,2000
3/8/2021,Outsole Game Changer Pro #FB1043,Puma,R,2000
3/9/2021,Outsole #FB1079,Puma,Q,2000
3/9/2021,Outsole Supernatural Inline #AD36895,Adidas,M,5000
3/15/2021,Outsole Kipsta FG SR#DFM-1602,Kipstar,M,40000
3/17/2021,Midsole Workout,Adidas,Q,13000
3/17/2021,Midsole Workout,Adidas,Q,13000
3/18/2021,Outsole Future MG #FB1095,Puma,D,10000
3/19/2021,Midsole Climawarm Ground Control #57531,Adidas,Q,10000
3/26/2021,Insole board Apos4,Apos,Q,5000
3/26/2021,Insole board Apos4,Apos,N,5000
3/26/2021,Insole board Apos4,Apos,E,5000
3/26/2021,Insole board Apos4,Apos,L,10000
3/26/2021,Insole board Apos4,Apos,M,10000
3/26/2021,Insole board Apos4,Apos,R,10000
3/26/2021,Insole board Apos4,Apos,P,10000
3/26/2021,Insole board Apos4,Apos,O,10000
3/26/2021,Insole board Apos4,Apos,D,10000
3/26/2021,Insole board Apos4,Apos,G,50000
3/26/2021,Insole board Apos4,Apos,O,10000
3/26/2021,Insole board Apos4,Apos,G,12000
3/26/2021,Insole board Apos4,Apos,K,12000
3/26/2021,Insole board Apos4,Apos,F,12000
4/1/2021,Heelcap Response Super X #52910HT,Adidas,N,2000
4/5/2021,Outsole Puma PACE #FB1065,Puma,D,1000
4/13/2021,Outsole Furon 6 FG #PFG002,NB,P,1000
4/13/2021,Outsole Furon 6 FG #PFG002,NB,P,4000
4/15/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,4000
4/16/2021,Heel counter TS033,Puma,A,4000
4/16/2021,Outsole Puma PACE #FB1065,Puma,P,4000
4/20/2021,Heel counter C 8-0114-M,NB,A,1000
4/22/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,1000
4/23/2021,Heel Counter 05091,Adidas,A,10000
4/24/2021,Outsole Future MG #FB1095,Puma,Q,10000
4/24/2021,Outsole Future MG #FB1095,Puma,Q,2000
4/24/2021,Outsole Ultra FG #FB1106,Puma,O,1000
4/26/2021,Insole Board TS042,Puma,D,3000
4/26/2021,Puma Twist Lock 015500,Puma,T,15000
4/27/2021,Outsole #MB4040V5,NB,W,200000
4/27/2021,Outsole NB Composite COMPV1,NB,F,18000
4/27/2021,Outsole NB Composite COMPV1,NB,R,12000
4/27/2021,Outsole NB Composite COMPV1,NB,E,10000
4/27/2021,Outsole NB Composite COMPV1,NB,D,7000
4/27/2021,Outsole NB PL #4040V6,NB,W,3000
4/27/2021,Outsole NB PL #4040V6,NB,W,1000
4/29/2021,Outsole Future MG #FB1095,Puma,D,5000
4/29/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,Q,5000
4/29/2021,Outsole FW20 Puma Future 2.0 #FB1064,Puma,D,5000
